,efm,reaction,kcat,dq/dk,dlogq/dlogk
12,291,R40,1.23e+02,3.51e-05,4.71e-03
13,291,R6r,7.84e+03,1.47e-06,1.26e-02
14,291,R5r,7.99e+00,4.00e-03,3.48e-02
15,291,R15r,7.53e+01,2.30e-04,1.89e-02
16,291,R14r,1.67e+01,3.12e-03,5.70e-02
17,291,R27b,1.79e+02,3.92e-04,7.67e-02
18,291,R7ra,2.33e+02,1.35e-04,3.44e-02
19,291,R7rc,5.31e+01,1.44e-04,8.37e-03
20,291,R13r,4.64e+01,4.12e-05,2.09e-03
21,291,R10a,2.41e+02,3.54e-05,9.31e-03
22,291,R1,1.04e+02,1.64e-04,1.86e-02
23,291,R10b,4.10e+02,1.84e-05,8.22e-03
24,291,R29r,2.11e+02,1.56e-07,3.60e-05
25,291,R93,9.97e+01,9.29e-06,1.01e-03
26,291,R8r,2.11e+02,2.94e-05,6.77e-03
27,291,R12r,1.36e+03,3.39e-08,5.04e-05
28,291,R11r,1.34e+02,2.72e-05,3.97e-03
29,291,R70,9.95e+01,9.02e-07,9.80e-05
0,297,R91,1.00e+02,1.18e-05,8.30e-03
1,297,R55b,5.88e+01,5.44e-05,2.24e-02
2,297,R55a,9.13e+01,3.76e-05,2.40e-02
3,297,R22,3.59e+02,7.92e-07,1.99e-03
4,297,R21,3.77e+01,5.85e-04,1.54e-01
5,297,R3,1.15e+02,6.11e-05,4.91e-02
6,297,R80,4.00e+06,2.91e-09,8.15e-02
7,297,R7rb,3.90e+02,7.58e-06,2.07e-02
8,297,R24,1.08e+02,1.61e-06,1.22e-03
9,297,R23r,3.26e+01,2.34e-05,5.33e-03
10,297,R10c,1.10e+02,3.36e-05,2.59e-02
