,efm,reaction,dq/dKeq,dlogq/dlogKeq
241,20,r4,0.00e+00,0.00e+00
242,20,r40,0.00e+00,0.00e+00
243,20,r41,0.00e+00,0.00e+00
244,20,r5r,4.88e+01,1.27e-02
245,20,r60,0.00e+00,0.00e+00
246,20,r61r,-4.10e-02,-3.43e-04
247,20,r6r,-7.92e-04,-7.79e-03
248,20,r93,0.00e+00,0.00e+00
249,20,rr9,0.00e+00,0.00e+00
250,21,r1,0.00e+00,0.00e+00
251,21,r10a,0.00e+00,0.00e+00
252,21,r10b,0.00e+00,0.00e+00
253,21,r11r,1.19e-03,1.23e-03
254,21,r12r,-5.29e-04,-5.47e-04
255,21,r13r,8.77e-04,1.42e-03
256,21,r14r,2.84e-03,1.14e-03
257,21,r15r,3.33e-04,5.55e-03
258,21,r21,0.00e+00,0.00e+00
259,21,r22,0.00e+00,0.00e+00
260,21,r23r,-4.79e-01,-1.57e-02
261,21,r24,0.00e+00,0.00e+00
262,21,r25,0.00e+00,0.00e+00
263,21,r26r,-5.79e-02,-1.34e-02
264,21,r27,0.00e+00,0.00e+00
265,21,r27b,0.00e+00,0.00e+00
266,21,r2r,5.18e-02,1.17e-02
267,21,r4,0.00e+00,0.00e+00
268,21,r40,0.00e+00,0.00e+00
269,21,r5r,1.55e+02,2.05e-02
270,21,r60,0.00e+00,0.00e+00
271,21,r61r,-9.47e-02,-4.03e-04
272,21,r6r,-2.52e-03,-1.26e-02
273,21,r93,0.00e+00,0.00e+00
274,21,r95,0.00e+00,0.00e+00
275,21,rr9,0.00e+00,0.00e+00
276,22,r1,0.00e+00,0.00e+00
277,22,r10a,0.00e+00,0.00e+00
278,22,r10b,0.00e+00,0.00e+00
279,22,r10c,0.00e+00,0.00e+00
280,22,r11r,-2.39e-05,-7.05e-05
281,22,r12r,-3.70e-05,-1.09e-04
282,22,r13r,-9.64e-07,-4.46e-06
283,22,r14r,-3.76e-05,-4.29e-05
284,22,r21,0.00e+00,0.00e+00
285,22,r22,0.00e+00,0.00e+00
286,22,r23r,-1.71e-01,-1.60e-02
287,22,r24,0.00e+00,0.00e+00
288,22,r25,0.00e+00,0.00e+00
289,22,r26r,-2.78e-02,-1.84e-02
290,22,r27,0.00e+00,0.00e+00
291,22,r27b,0.00e+00,0.00e+00
292,22,r28r,-3.40e-03,-2.04e-02
293,22,r29r,-3.26e+02,-2.52e-02
294,22,r2r,9.66e-03,6.24e-03
295,22,r4,0.00e+00,0.00e+00
296,22,r40,0.00e+00,0.00e+00
297,22,r5r,3.60e+01,1.36e-02
298,22,r60,0.00e+00,0.00e+00
299,22,r61r,-3.88e-02,-4.70e-04
300,22,r6r,-5.78e-04,-8.25e-03
301,22,r93,0.00e+00,0.00e+00
302,22,rr9,0.00e+00,0.00e+00
303,29,r1,0.00e+00,0.00e+00
304,29,r10a,0.00e+00,0.00e+00
305,29,r10b,0.00e+00,0.00e+00
306,29,r10c,0.00e+00,0.00e+00
307,29,r11r,-4.33e-05,-1.72e-04
308,29,r12r,-6.26e-05,-2.48e-04
309,29,r13r,-3.29e-06,-2.05e-05
310,29,r14r,-5.11e-05,-7.85e-05
311,29,r21,0.00e+00,0.00e+00
312,29,r22,0.00e+00,0.00e+00
313,29,r23r,-9.80e-02,-1.23e-02
314,29,r24,0.00e+00,0.00e+00
315,29,r25,0.00e+00,0.00e+00
316,29,r26r,-1.32e-02,-1.17e-02
317,29,r27,0.00e+00,0.00e+00
318,29,r28r,-1.46e-03,-1.18e-02
319,29,r2r,9.17e-03,7.97e-03
320,29,r4,0.00e+00,0.00e+00
321,29,r40,0.00e+00,0.00e+00
322,29,r41,0.00e+00,0.00e+00
323,29,r5r,2.08e+01,1.06e-02
324,29,r60,0.00e+00,0.00e+00
325,29,r61r,-1.65e-02,-2.69e-04
326,29,r6r,-3.15e-04,-6.04e-03
327,29,r80,0.00e+00,0.00e+00
328,29,r93,0.00e+00,0.00e+00
329,29,rr9,0.00e+00,0.00e+00
330,30,r1,0.00e+00,0.00e+00
331,30,r10a,0.00e+00,0.00e+00
332,30,r10b,0.00e+00,0.00e+00
333,30,r10c,0.00e+00,0.00e+00
334,30,r12r,-1.22e-04,-2.47e-04
335,30,r13r,-1.51e-05,-4.82e-05
336,30,r14r,-4.89e-05,-3.84e-05
337,30,r15r,1.04e-04,3.39e-03
338,30,r21,0.00e+00,0.00e+00
339,30,r22,0.00e+00,0.00e+00
340,30,r23r,-2.15e-01,-1.39e-02
341,30,r24,0.00e+00,0.00e+00
342,30,r25,0.00e+00,0.00e+00
343,30,r26r,-3.30e-02,-1.50e-02
344,30,r27,0.00e+00,0.00e+00
345,30,r27b,0.00e+00,0.00e+00
346,30,r28r,-2.50e-03,-1.03e-02
347,30,r2r,1.59e-02,7.09e-03
348,30,r4,0.00e+00,0.00e+00
349,30,r40,0.00e+00,0.00e+00
350,30,r41,0.00e+00,0.00e+00
351,30,r5r,5.01e+01,1.30e-02
352,30,r60,0.00e+00,0.00e+00
353,30,r61r,-4.09e-02,-3.41e-04
354,30,r6r,-8.19e-04,-8.04e-03
355,30,r93,0.00e+00,0.00e+00
356,30,rr9,0.00e+00,0.00e+00
357,31,r1,0.00e+00,0.00e+00
358,31,r10a,0.00e+00,0.00e+00
359,31,r10b,0.00e+00,0.00e+00
360,31,r10c,0.00e+00,0.00e+00
361,31,r11r,-3.05e-05,-1.36e-04
362,31,r12r,-4.64e-05,-2.06e-04
363,31,r13r,-1.70e-06,-1.19e-05
364,31,r14r,-4.22e-05,-7.25e-05
365,31,r21,0.00e+00,0.00e+00
366,31,r22,0.00e+00,0.00e+00
367,31,r23r,-1.34e-01,-1.89e-02
368,31,r24,0.00e+00,0.00e+00
369,31,r25,0.00e+00,0.00e+00
370,31,r26r,-2.00e-02,-1.99e-02
371,31,r27,0.00e+00,0.00e+00
372,31,r28r,-2.56e-03,-2.31e-02
373,31,r29r,-2.37e+02,-2.77e-02
374,31,r2r,6.80e-03,6.62e-03
375,31,r4,0.00e+00,0.00e+00
376,31,r40,0.00e+00,0.00e+00
377,31,r5r,1.95e+01,1.11e-02
378,31,r60,0.00e+00,0.00e+00
379,31,r61r,-2.03e-02,-3.71e-04
380,31,r6r,-2.95e-04,-6.34e-03
381,31,r80,0.00e+00,0.00e+00
382,31,r93,0.00e+00,0.00e+00
383,31,rr9,0.00e+00,0.00e+00
384,32,r1,0.00e+00,0.00e+00
385,32,r10a,0.00e+00,0.00e+00
386,32,r10b,0.00e+00,0.00e+00
387,32,r10c,0.00e+00,0.00e+00
388,32,r12r,-9.77e-05,-2.88e-04
389,32,r13r,-1.26e-05,-5.82e-05
390,32,r14r,-3.30e-05,-3.76e-05
391,32,r15r,1.34e-04,6.35e-03
392,32,r21,0.00e+00,0.00e+00
393,32,r22,0.00e+00,0.00e+00
394,32,r23r,-1.72e-01,-1.61e-02
395,32,r24,0.00e+00,0.00e+00
396,32,r25,0.00e+00,0.00e+00
397,32,r26r,-2.81e-02,-1.86e-02
398,32,r27,0.00e+00,0.00e+00
399,32,r27b,0.00e+00,0.00e+00
400,32,r28r,-3.44e-03,-2.06e-02
401,32,r29r,-3.29e+02,-2.55e-02
402,32,r2r,6.91e-03,4.46e-03
403,32,r4,0.00e+00,0.00e+00
404,32,r40,0.00e+00,0.00e+00
405,32,r5r,3.69e+01,1.39e-02
406,32,r60,0.00e+00,0.00e+00
407,32,r61r,-3.87e-02,-4.69e-04
408,32,r6r,-5.98e-04,-8.52e-03
409,32,r93,0.00e+00,0.00e+00
410,32,rr9,0.00e+00,0.00e+00
411,34,r1,0.00e+00,0.00e+00
412,34,r10a,0.00e+00,0.00e+00
413,34,r10b,0.00e+00,0.00e+00
414,34,r10c,0.00e+00,0.00e+00
415,34,r12r,-1.05e-04,-4.16e-04
416,34,r13r,-1.41e-05,-8.75e-05
417,34,r14r,-4.47e-05,-6.83e-05
418,34,r15r,6.98e-05,4.45e-03
419,34,r21,0.00e+00,0.00e+00
420,34,r22,0.00e+00,0.00e+00
421,34,r23r,-9.90e-02,-1.24e-02
422,34,r24,0.00e+00,0.00e+00
423,34,r25,0.00e+00,0.00e+00
424,34,r26r,-1.34e-02,-1.19e-02
425,34,r27,0.00e+00,0.00e+00
426,34,r28r,-1.48e-03,-1.19e-02
427,34,r2r,8.56e-03,7.42e-03
428,34,r4,0.00e+00,0.00e+00
429,34,r40,0.00e+00,0.00e+00
430,34,r41,0.00e+00,0.00e+00
431,34,r5r,2.18e+01,1.10e-02
432,34,r60,0.00e+00,0.00e+00
433,34,r61r,-1.64e-02,-2.66e-04
434,34,r6r,-3.34e-04,-6.38e-03
435,34,r80,0.00e+00,0.00e+00
436,34,r93,0.00e+00,0.00e+00
437,34,rr9,0.00e+00,0.00e+00
438,35,r1,0.00e+00,0.00e+00
439,35,r10a,0.00e+00,0.00e+00
440,35,r10b,0.00e+00,0.00e+00
441,35,r10c,0.00e+00,0.00e+00
442,35,r12r,-9.96e-05,-4.41e-04
443,35,r13r,-1.31e-05,-9.09e-05
444,35,r14r,-3.79e-05,-6.50e-05
445,35,r15r,9.37e-05,6.69e-03
446,35,r21,0.00e+00,0.00e+00
447,35,r22,0.00e+00,0.00e+00
448,35,r23r,-1.35e-01,-1.90e-02
449,35,r24,0.00e+00,0.00e+00
450,35,r25,0.00e+00,0.00e+00
451,35,r26r,-2.02e-02,-2.01e-02
452,35,r27,0.00e+00,0.00e+00
453,35,r28r,-2.59e-03,-2.33e-02
454,35,r29r,-2.40e+02,-2.80e-02
455,35,r2r,5.35e-03,5.20e-03
456,35,r4,0.00e+00,0.00e+00
457,35,r40,0.00e+00,0.00e+00
458,35,r5r,2.04e+01,1.16e-02
459,35,r60,0.00e+00,0.00e+00
460,35,r61r,-2.02e-02,-3.69e-04
461,35,r6r,-3.14e-04,-6.73e-03
462,35,r80,0.00e+00,0.00e+00
463,35,r93,0.00e+00,0.00e+00
464,35,rr9,0.00e+00,0.00e+00
465,37,r1,0.00e+00,0.00e+00
466,37,r10a,0.00e+00,0.00e+00
