,efm,reaction,metabolite,dq/dKm,dlogq/dlogKm,dmu/dKm,dlogmu/dlogKm
281,1016,R55b,acetylp,7.29e-02,1.51e-02,-1.37e-02,-3.64e-04
282,1016,R55b,adp,2.61e-02,1.41e-02,-4.92e-03,-3.40e-04
283,1016,R55b,atp,-1.36e-01,-1.30e-02,2.55e-02,3.13e-04
284,1049,R55b,acetate,-1.25e-04,-4.99e-04,1.83e-05,4.90e-06
285,1049,R55b,acetylp,2.98e-02,5.36e-03,-4.39e-03,-5.27e-05
286,1049,R55b,adp,5.40e-03,2.53e-03,-7.94e-04,-2.49e-05
287,1049,R55b,atp,-2.56e-02,-2.13e-03,3.77e-03,2.09e-05
288,1071,R55b,acetate,-1.13e-04,-2.48e-03,2.32e-04,5.74e-05
289,1071,R55b,acetylp,1.94e-02,1.91e-02,-3.97e-02,-4.41e-04
290,1071,R55b,adp,6.78e-03,1.74e-02,-1.39e-02,-4.02e-04
291,1071,R55b,atp,-3.49e-02,-1.59e-02,7.14e-02,3.67e-04
292,1107,R55b,acetate,-4.93e-05,-2.26e-04,9.20e-06,1.88e-06
293,1107,R55b,acetylp,1.82e-02,3.74e-03,-3.40e-03,-3.13e-05
294,1107,R55b,adp,1.51e-03,8.06e-04,-2.81e-04,-6.73e-06
295,1107,R55b,atp,-4.01e-03,-3.81e-04,7.48e-04,3.18e-06
296,1111,R55b,acetate,-4.96e-05,-2.27e-04,9.29e-06,1.92e-06
297,1111,R55b,acetylp,1.84e-02,3.78e-03,-3.44e-03,-3.19e-05
298,1111,R55b,adp,1.51e-03,8.12e-04,-2.83e-04,-6.86e-06
299,1111,R55b,atp,-3.99e-03,-3.81e-04,7.49e-04,3.22e-06
300,1148,R55b,acetate,-9.47e-05,-2.11e-03,1.97e-04,4.24e-05
301,1148,R55b,acetylp,1.60e-02,1.59e-02,-3.33e-02,-3.21e-04
302,1148,R55b,adp,5.29e-03,1.38e-02,-1.10e-02,-2.77e-04
303,1148,R55b,atp,-2.71e-02,-1.25e-02,5.66e-02,2.52e-04
304,1155,R55b,acetate,-9.42e-05,-2.11e-03,1.98e-04,4.21e-05
305,1155,R55b,acetylp,1.59e-02,1.60e-02,-3.35e-02,-3.20e-04
306,1155,R55b,adp,5.34e-03,1.40e-02,-1.12e-02,-2.79e-04
307,1155,R55b,atp,-2.74e-02,-1.27e-02,5.75e-02,2.54e-04
308,117,R55b,acetate,-4.03e-04,-1.84e-03,7.49e-05,4.50e-05
309,117,R55b,acetylp,7.40e-02,1.52e-02,-1.37e-02,-3.71e-04
310,117,R55b,adp,2.65e-02,1.41e-02,-4.91e-03,-3.45e-04
311,117,R55b,atp,-1.37e-01,-1.30e-02,2.55e-02,3.18e-04
312,1182,R55b,acetate,-4.98e-05,-2.29e-04,9.39e-06,1.96e-06
313,1182,R55b,acetylp,1.85e-02,3.82e-03,-3.49e-03,-3.27e-05
314,1182,R55b,adp,1.52e-03,8.17e-04,-2.86e-04,-6.99e-06
315,1182,R55b,atp,-3.97e-03,-3.80e-04,7.49e-04,3.25e-06
316,1185,R55b,acetate,-2.91e-05,-1.06e-04,3.63e-06,2.93e-07
317,1185,R55b,acetylp,7.92e-03,1.30e-03,-9.87e-04,-3.57e-06
318,1185,R55b,adp,1.03e-03,4.38e-04,-1.28e-04,-1.21e-06
319,1185,R55b,atp,-4.16e-03,-3.15e-04,5.18e-04,8.68e-07
320,1203,R55b,acetate,-4.89e-05,-2.08e-04,8.00e-06,1.38e-06
321,1203,R55b,acetylp,1.68e-02,3.20e-03,-2.74e-03,-2.13e-05
322,1203,R55b,adp,1.57e-03,7.82e-04,-2.57e-04,-5.21e-06
323,1203,R55b,atp,-5.20e-03,-4.59e-04,8.51e-04,3.06e-06
324,1213,R55b,acetate,-9.51e-05,-2.10e-03,1.97e-04,4.26e-05
