EFM,biomass yield [gr dw / mol C glc],"$\Sigma_i \frac{|v_i| \cdot w_i}{k_{\mathrm{cat},i}}$ [gr enz / gr dw h$^{-1}$]",total enzyme [gr enz / gr dw h$^{-1}$],growth rate [h$^{-1}$]
1099,2.166,0.148,0.404,0.268
1100,2.071,0.296,1.133,0.109
1104,2.071,0.159,0.438,0.251
1107,11.04,0.228,0.751,0.159
1108,21.816,0.056,0.184,0.476
1111,11.002,0.228,0.749,0.159
1129,2.071,11.546,18.799,0.007
1139,2.127,0.158,0.49,0.229
1141,2.187,0.148,0.406,0.267
1143,2.071,0.161,0.447,0.247
1144,2.071,0.327,1.222,0.102
1147,2.183,11.285,18.184,0.007
1148,15.062,0.062,0.154,0.531
1149,16.639,0.269,1.008,0.122
1151,21.816,0.056,0.183,0.477
1152,2.307,10.624,17.123,0.008
1153,2.204,11.164,17.996,0.007
1155,15.167,0.061,0.153,0.533
1157,2.354,10.387,16.748,0.008
1163,17.182,0.268,0.908,0.134
1164,21.816,0.071,0.205,0.442
1169,17.197,0.269,0.913,0.133
1171,21.816,0.073,0.212,0.433
1175,2.183,0.154,0.468,0.238
1181,10.73,1.121,2.268,0.057
1182,10.964,0.228,0.746,0.16
1185,13.636,0.254,0.941,0.13
1187,10.73,0.261,1.029,0.12
1189,2.307,0.135,0.358,0.295
1190,1.841,0.582,1.367,0.092
1195,2.204,0.155,0.478,0.233
1202,2.071,11.674,18.94,0.007
1203,11.741,0.236,0.809,0.149
1206,2.146,0.149,0.403,0.269
1207,2.071,0.266,1.041,0.118
1209,2.354,0.132,0.353,0.298
1211,10.406,0.361,1.141,0.109
1213,14.958,0.063,0.155,0.528
1214,15.816,0.512,0.941,0.13
1215,18.81,0.046,0.135,0.574
1216,2.071,0.157,0.43,0.255
1217,2.108,0.155,0.463,0.24
1218,20.844,0.04,0.093,0.699
1219,17.273,0.051,0.147,0.548
1220,2.645,9.053,14.606,0.009
1222,15.816,0.041,0.144,0.554
1223,3.66,6.247,10.123,0.013
1226,2.262,10.862,17.498,0.008
1227,13.783,0.313,0.983,0.125
1229,18.618,0.119,0.38,0.282
1231,2.162,11.407,18.371,0.007
1234,14.74,0.321,1.022,0.12
1238,15.192,0.3,0.96,0.127
1240,14.151,0.294,0.917,0.133
1241,2.645,0.177,0.608,0.191
1245,3.66,0.094,0.273,0.362
1249,12.831,0.297,0.94,0.13
1250,1.799,0.882,3.076,0.043
1254,3.44,0.313,0.75,0.159
1255,2.671,0.478,1.088,0.114
1256,12.831,0.612,1.359,0.093
1262,2.668,0.478,1.089,0.114
1264,2.162,0.153,0.458,0.242
1265,1.806,0.878,3.062,0.043
1270,10.924,0.228,0.748,0.159
1274,2.262,0.137,0.363,0.292
1281,3.449,0.312,0.748,0.159
1287,7.969,0.429,1.585,0.08
1288,16.166,0.297,1.136,0.109
1289,2.071,11.743,19.02,0.007
1291,13.619,0.428,1.539,0.082
1292,13.358,0.091,0.195,0.458
1295,2.071,0.155,0.423,0.258
1297,2.071,0.234,0.937,0.13
1298,2.125,0.149,0.403,0.269
1299,2.098,0.154,0.449,0.246
1301,20.844,0.076,0.224,0.416
1302,19.46,0.104,0.277,0.358
1304,14.848,0.064,0.16,0.52
1307,7.933,0.43,1.59,0.08
1308,2.141,11.536,18.579,0.007
1309,1.806,0.18,0.532,0.214
