,efm,reaction,dq/dKeq,dlnq/dlnKeq,dmu/dKeq,dlnmu/dlnKeq
233,136,R6r,-4.97e-05,-2.47e-05,1.30e-08,2.46e-05
234,136,R7ra,-5.94e+00,-2.32e-02,1.55e-03,2.31e-02
235,136,R7rb,-1.15e-04,-3.69e-03,2.99e-08,3.67e-03
236,136,R7rc,-5.66e-01,-4.02e-03,1.47e-04,4.00e-03
237,136,R8r,-1.79e-02,-2.76e-03,4.66e-06,2.75e-03
238,136,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
239,136,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
240,136,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
241,137,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
242,137,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
243,137,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
244,137,R11r,1.22e-04,2.90e-04,-1.42e-05,-2.63e-04
245,137,R12r,-4.49e-05,-1.07e-04,5.21e-06,9.68e-05
246,137,R13r,8.52e-05,3.18e-04,-9.88e-06,-2.88e-04
247,137,R14r,2.25e-04,2.06e-04,-2.60e-05,-1.87e-04
248,137,R15r,3.74e-05,1.43e-03,-4.33e-06,-1.30e-03
249,137,R21,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
250,137,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
251,137,R23r,-3.06e-03,-2.31e-04,3.55e-04,2.09e-04
252,137,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
253,137,R27b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
254,137,R28r,1.29e-04,6.26e-04,-1.50e-05,-5.68e-04
255,137,R29r,2.94e+00,1.83e-04,-3.41e-01,-1.66e-04
256,137,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
257,137,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
258,137,R53r,-1.68e-09,-3.53e-05,1.95e-10,3.20e-05
259,137,R54ra,-1.40e+01,-3.23e-02,1.62e+00,2.93e-02
260,137,R54rb,-6.65e-06,-1.88e-02,7.71e-07,1.70e-02
261,137,R5r,8.35e-01,2.54e-04,-9.68e-02,-2.30e-04
262,137,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
263,137,R61r,-1.13e-01,-1.11e-03,1.31e-02,1.00e-03
264,137,R6r,-1.11e-05,-1.28e-04,1.29e-06,1.16e-04
265,137,R7ra,-5.82e-01,-5.26e-02,6.75e-02,4.78e-02
266,137,R7rb,-1.79e-05,-1.33e-02,2.07e-06,1.20e-02
267,137,R7rc,-1.79e-01,-2.94e-02,2.08e-02,2.67e-02
268,137,R8r,-4.80e-03,-1.72e-02,5.57e-04,1.56e-02
269,137,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
270,137,R94,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
271,137,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
272,137,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
273,140,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
274,140,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
275,140,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
276,140,R11r,1.01e-04,5.09e-04,-4.32e-05,-4.19e-04
277,140,R12r,-3.58e-05,-1.79e-04,1.52e-05,1.48e-04
278,140,R13r,6.18e-05,4.87e-04,-2.63e-05,-4.01e-04
279,140,R14r,1.87e-04,3.63e-04,-7.94e-05,-2.98e-04
280,140,R15r,2.69e-05,2.17e-03,-1.14e-05,-1.79e-03
281,140,R21,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
282,140,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
283,140,R23r,-2.85e-03,-4.54e-04,1.21e-03,3.73e-04
284,140,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
285,140,R27b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
286,140,R28r,2.83e-04,2.89e-03,-1.20e-04,-2.38e-03
287,140,R29r,1.22e+01,1.61e-03,-5.18e+00,-1.32e-03
288,140,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
289,140,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
290,140,R53r,-2.30e-08,-1.02e-03,9.78e-09,8.40e-04
291,140,R5r,6.33e-01,4.07e-04,-2.69e-01,-3.35e-04
292,140,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
293,140,R61r,-2.30e-02,-4.76e-04,9.81e-03,3.92e-04
294,140,R6r,-7.59e-06,-1.84e-04,3.23e-06,1.52e-04
295,140,R7ra,-1.88e-01,-3.59e-02,8.00e-02,2.95e-02
296,140,R7rb,-5.27e-06,-8.27e-03,2.24e-06,6.81e-03
297,140,R7rc,-9.30e-02,-3.23e-02,3.96e-02,2.65e-02
298,140,R8r,-2.29e-03,-1.73e-02,9.75e-04,1.42e-02
299,140,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
300,140,R94,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
301,140,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
302,140,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
303,151,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
304,151,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
305,151,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
